Timestamp,Vacant Slots,Occupied Slots
2024-12-03 11:08:59,0,0
2024-12-03 11:08:59,0,0
2024-12-03 11:09:01,0,0
2024-12-03 11:09:03,0,0
2024-12-03 11:09:05,0,1
2024-12-03 11:09:07,1,7
2024-12-03 11:09:09,0,3
2024-12-03 11:09:11,0,8
2024-12-03 11:09:13,1,8
2024-12-03 11:09:15,2,11
2024-12-03 11:09:17,2,9
2024-12-03 11:09:19,3,11
2024-12-03 11:09:21,4,4
2024-12-03 11:09:23,4,4
2024-12-03 11:09:25,6,3
2024-12-03 11:09:27,4,4
2024-12-03 11:09:29,1,6
2024-12-03 11:09:31,0,0
2024-12-03 11:09:33,5,2
2024-12-03 11:09:35,6,1
2024-12-03 11:09:37,7,1
2024-12-03 11:09:39,5,2
2024-12-03 11:09:41,5,2
2024-12-03 11:09:43,5,2
2024-12-03 11:09:46,6,2
2024-12-03 11:09:48,0,0
2024-12-03 11:09:50,0,0
2024-12-03 11:09:52,0,0
2024-12-03 11:09:54,0,0
